# emoji-zwj-sequences.txt
# Date: 2018-02-07, 08:40:26 GMT
# © 2018 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji ZWJ Sequences for UTS #51
# Version: 11.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field: Emoji_ZWJ_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Emoji ZWJ Sequence: Family

1F468 200D 2764 FE0F 200D 1F468             ; Emoji_ZWJ_Sequence  ; couple with heart: man, man                                    #  6.0  [1] (👨‍❤️‍👨)
1F6B4 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman biking: medium-dark skin tone                            #  8.0  [1] (🚴🏾‍♀️)
1F6B4 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man biking: medium-dark skin tone                              #  8.0  [1] (🚴🏾‍♂️)
1F6B4 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman biking: dark skin tone                                   #  8.0  [1] (🚴🏿‍♀️)
1F6B4 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man biking: dark skin tone                                     #  8.0  [1] (🚴🏿‍♂️)
1F6B5 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman mountain biking                                          #  6.0  [1] (🚵‍♀️)
1F6B5 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man mountain biking                                            #  6.0  [1] (🚵‍♂️)
1F6B5 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman mountain biking: light skin tone                         #  8.0  [1] (🚵🏻‍♀️)
1F6B5 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man mountain biking: light skin tone                           #  8.0  [1] (🚵🏻‍♂️)
1F6B5 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman mountain biking: medium-light skin tone                  #  8.0  [1] (🚵🏼‍♀️)
1F6B5 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man mountain biking: medium-light skin tone                    #  8.0  [1] (🚵🏼‍♂️)
1F6B5 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman mountain biking: medium skin tone                        #  8.0  [1] (🚵🏽‍♀️)
1F6B5 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man mountain biking: medium skin tone                          #  8.0  [1] (🚵🏽‍♂️)
1F6B5 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman mountain biking: medium-dark skin tone                   #  8.0  [1] (🚵🏾‍♀️)
1F6B5 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man mountain biking: medium-dark skin tone                     #  8.0  [1] (🚵🏾‍♂️)
1F6B5 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman mountain biking: dark skin tone                          #  8.0  [1] (🚵🏿‍♀️)
1F6B5 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man mountain biking: dark skin tone                            #  8.0  [1] (🚵🏿‍♂️)
1F6B6 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman walking                                                  #  6.0  [1] (🚶‍♀️)
1F6B6 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man walking                                                    #  6.0  [1] (🚶‍♂️)
1F6B6 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman walking: light skin tone                                 #  8.0  [1] (🚶🏻‍♀️)
1F6B6 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man walking: light skin tone                                   #  8.0  [1] (🚶🏻‍♂️)
1F6B6 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman walking: medium-light skin tone                          #  8.0  [1] (🚶🏼‍♀️)
1F6B6 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man walking: medium-light skin tone                            #  8.0  [1] (🚶🏼‍♂️)
1F6B6 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman walking: medium skin tone                                #  8.0  [1] (🚶🏽‍♀️)
1F6B6 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man walking: medium skin tone                                  #  8.0  [1] (🚶🏽‍♂️)
1F6B6 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman walking: medium-dark skin tone                           #  8.0  [1] (🚶🏾‍♀️)
1F6B6 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man walking: medium-dark skin tone                             #  8.0  [1] (🚶🏾‍♂️)
1F6B6 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman walking: dark skin tone                                  #  8.0  [1] (🚶🏿‍♀️)
1F6B6 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man walking: dark skin tone                                    #  8.0  [1] (🚶🏿‍♂️)
1F938 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman cartwheeling                                             #  9.0  [1] (🤸‍♀️)
1F938 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man cartwheeling                                               #  9.0  [1] (🤸‍♂️)
1F938 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman cartwheeling: light skin tone                            #  9.0  [1] (🤸🏻‍♀️)
1F938 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man cartwheeling: light skin tone                              #  9.0  [1] (🤸🏻‍♂️)
1F938 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman cartwheeling: medium-light skin tone                     #  9.0  [1] (🤸🏼‍♀️)
1F938 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man cartwheeling: medium-light skin tone                       #  9.0  [1] (🤸🏼‍♂️)
1F938 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman cartwheeling: medium skin tone                           #  9.0  [1] (🤸🏽‍♀️)
1F938 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man cartwheeling: medium skin tone                             #  9.0  [1] (🤸🏽‍♂️)
1F938 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman cartwheeling: medium-dark skin tone                      #  9.0  [1] (🤸🏾‍♀️)
1F938 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man cartwheeling: medium-dark skin tone                        #  9.0  [1] (🤸🏾‍♂️)
1F938 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman cartwheeling: dark skin tone                             #  9.0  [1] (🤸🏿‍♀️)
1F938 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man cartwheeling: dark skin tone                               #  9.0  [1] (🤸🏿‍♂️)
1F939 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman juggling                                                 #  9.0  [1] (🤹‍♀️)
1F939 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man juggling                                                   #  9.0  [1] (🤹‍♂️)
1F939 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman juggling: light skin tone                                #  9.0  [1] (🤹🏻‍♀️)
1F939 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man juggling: light skin tone                                  #  9.0  [1] (🤹🏻‍♂️)
1F939 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman juggling: medium-light skin tone                         #  9.0  [1] (🤹🏼‍♀️)
1F939 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man juggling: medium-light skin tone                           #  9.0  [1] (🤹🏼‍♂️)
1F939 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman juggling: medium skin tone                               #  9.0  [1] (🤹🏽‍♀️)
1F939 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man juggling: medium skin tone                                 #  9.0  [1] (🤹🏽‍♂️)
1F939 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman juggling: medium-dark skin tone                          #  9.0  [1] (🤹🏾‍♀️)
1F939 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man juggling: medium-dark skin tone                            #  9.0  [1] (🤹🏾‍♂️)
1F939 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman juggling: dark skin tone                                 #  9.0  [1] (🤹🏿‍♀️)
1F939 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man juggling: dark skin tone                                   #  9.0  [1] (🤹🏿‍♂️)
1F93C 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; women wrestling                                                #  9.0  [1] (🤼‍♀️)
1F93C 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; men wrestling                                                  #  9.0  [1] (🤼‍♂️)
1F93D 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman playing water polo                                       #  9.0  [1] (🤽‍♀️)
1F93D 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man playing water polo                                         #  9.0  [1] (🤽‍♂️)
1F93D 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman playing water polo: light skin tone                      #  9.0  [1] (🤽🏻‍♀️)
1F93D 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man playing water polo: light skin tone                        #  9.0  [1] (🤽🏻‍♂️)
1F93D 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman playing water polo: medium-light skin tone               #  9.0  [1] (🤽🏼‍♀️)
1F93D 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man playing water polo: medium-light skin tone                 #  9.0  [1] (🤽🏼‍♂️)
1F93D 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman playing water polo: medium skin tone                     #  9.0  [1] (🤽🏽‍♀️)
1F93D 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man playing water polo: medium skin tone                       #  9.0  [1] (🤽🏽‍♂️)
1F93D 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman playing water polo: medium-dark skin tone                #  9.0  [1] (🤽🏾‍♀️)
1F93D 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man playing water polo: medium-dark skin tone                  #  9.0  [1] (🤽🏾‍♂️)
1F93D 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman playing water polo: dark skin tone                       #  9.0  [1] (🤽🏿‍♀️)
1F93D 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man playing water polo: dark skin tone                         #  9.0  [1] (🤽🏿‍♂️)
1F93E 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman playing handball                                         #  9.0  [1] (🤾‍♀️)
1F93E 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man playing handball                                           #  9.0  [1] (🤾‍♂️)
1F93E 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman playing handball: light skin tone                        #  9.0  [1] (🤾🏻‍♀️)
1F93E 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man playing handball: light skin tone                          #  9.0  [1] (🤾🏻‍♂️)
1F93E 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman playing handball: medium-light skin tone                 #  9.0  [1] (🤾🏼‍♀️)
1F93E 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man playing handball: medium-light skin tone                   #  9.0  [1] (🤾🏼‍♂️)
1F93E 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman playing handball: medium skin tone                       #  9.0  [1] (🤾🏽‍♀️)
1F93E 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man playing handball: medium skin tone                         #  9.0  [1] (🤾🏽‍♂️)
1F93E 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman playing handball: medium-dark skin tone                  #  9.0  [1] (🤾🏾‍♀️)
1F93E 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man playing handball: medium-dark skin tone                    #  9.0  [1] (🤾🏾‍♂️)
1F93E 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman playing handball: dark skin tone                         #  9.0  [1] (🤾🏿‍♀️)
1F93E 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man playing handball: dark skin tone                           #  9.0  [1] (🤾🏿‍♂️)
1F9D6 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman in steamy room                                           # 10.0  [1] (🧖‍♀️)
1F9D6 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man in steamy room                                             # 10.0  [1] (🧖‍♂️)
1F9D6 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman in steamy room: light skin tone                          # 10.0  [1] (🧖🏻‍♀️)
1F9D6 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man in steamy room: light skin tone                            # 10.0  [1] (🧖🏻‍♂️)
1F9D6 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman in steamy room: medium-light skin tone                   # 10.0  [1] (🧖🏼‍♀️)
1F9D6 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man in steamy room: medium-light skin tone                     # 10.0  [1] (🧖🏼‍♂️)
1F9D6 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman in steamy room: medium skin tone                         # 10.0  [1] (🧖🏽‍♀️)
1F9D6 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man in steamy room: medium skin tone                           # 10.0  [1] (🧖🏽‍♂️)
1F9D6 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman in steamy room: medium-dark skin tone                    # 10.0  [1] (🧖🏾‍♀️)
1F9D6 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man in steamy room: medium-dark skin tone                      # 10.0  [1] (🧖🏾‍♂️)
1F9D6 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman in steamy room: dark skin tone                           # 10.0  [1] (🧖🏿‍♀️)
1F9D6 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man in steamy room: dark skin tone                             # 10.0  [1] (🧖🏿‍♂️)
1F9D7 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman climbing                                                 # 10.0  [1] (🧗‍♀️)
1F9D7 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man climbing                                                   # 10.0  [1] (🧗‍♂️)
1F9D7 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman climbing: light skin tone                                # 10.0  [1] (🧗🏻‍♀️)
1F9D7 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man climbing: light skin tone                                  # 10.0  [1] (🧗🏻‍♂️)
1F9D7 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman climbing: medium-light skin tone                         # 10.0  [1] (🧗🏼‍♀️)
1F9D7 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man climbing: medium-light skin tone                           # 10.0  [1] (🧗🏼‍♂️)
1F9D7 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman climbing: medium skin tone                               # 10.0  [1] (🧗🏽‍♀️)
1F9D7 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man climbing: medium skin tone                                 # 10.0  [1] (🧗🏽‍♂️)
1F9D7 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman climbing: medium-dark skin tone                          # 10.0  [1] (🧗🏾‍♀️)
1F9D7 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man climbing: medium-dark skin tone                            # 10.0  [1] (🧗🏾‍♂️)
1F9D7 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman climbing: dark skin tone                                 # 10.0  [1] (🧗🏿‍♀️)
1F9D7 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man climbing: dark skin tone                                   # 10.0  [1] (🧗🏿‍♂️)
1F9D8 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman in lotus position                                        # 10.0  [1] (🧘‍♀️)
1F9D8 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man in lotus position                                          # 10.0  [1] (🧘‍♂️)
1F9D8 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman in lotus position: light skin tone                       # 10.0  [1] (🧘🏻‍♀️)
1F9D8 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man in lotus position: light skin tone                         # 10.0  [1] (🧘🏻‍♂️)
1F9D8 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman in lotus position: medium-light skin tone                # 10.0  [1] (🧘🏼‍♀️)
1F9D8 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man in lotus position: medium-light skin tone                  # 10.0  [1] (🧘🏼‍♂️)
1F9D8 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman in lotus position: medium skin tone                      # 10.0  [1] (🧘🏽‍♀️)
1F9D8 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man in lotus position: medium skin tone                        # 10.0  [1] (🧘🏽‍♂️)
1F9D8 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman in lotus position: medium-dark skin tone                 # 10.0  [1] (🧘🏾‍♀️)
1F9D8 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man in lotus position: medium-dark skin tone                   # 10.0  [1] (🧘🏾‍♂️)
1F9D8 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman in lotus position: dark skin tone                        # 10.0  [1] (🧘🏿‍♀️)
1F9D8 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man in lotus position: dark skin tone                          # 10.0  [1] (🧘🏿‍♂️)

# Total elements: 232

# ================================================

# Emoji ZWJ Sequence: Gendered Gestures

1F481 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman tipping hand                                             #  6.0  [1] (💁‍♀️)
1F481 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man tipping hand                                               #  6.0  [1] (💁‍♂️)
1F481 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman tipping hand: light skin tone                            #  8.0  [1] (💁🏻‍♀️)
1F481 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man tipping hand: light skin tone                              #  8.0  [1] (💁🏻‍♂️)
1F481 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman tipping hand: medium-light skin tone                     #  8.0  [1] (💁🏼‍♀️)
1F481 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man tipping hand: medium-light skin tone                       #  8.0  [1] (💁🏼‍♂️)
1F481 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman tipping hand: medium skin tone                           #  8.0  [1] (💁🏽‍♀️)
1F481 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man tipping hand: medium skin tone                             #  8.0  [1] (💁🏽‍♂️)
1F481 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman tipping hand: medium-dark skin tone                      #  8.0  [1] (💁🏾‍♀️)
1F481 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man tipping hand: medium-dark skin tone                        #  8.0  [1] (💁🏾‍♂️)
1F481 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman tipping hand: dark skin tone                             #  8.0  [1] (💁🏿‍♀️)
1F481 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man tipping hand: dark skin tone                               #  8.0  [1] (💁🏿‍♂️)
1F645 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman gesturing NO                                             #  6.0  [1] (🙅‍♀️)
1F645 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man gesturing NO                                               #  6.0  [1] (🙅‍♂️)
1F645 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman gesturing NO: light skin tone                            #  8.0  [1] (🙅🏻‍♀️)
1F645 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man gesturing NO: light skin tone                              #  8.0  [1] (🙅🏻‍♂️)
1F645 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman gesturing NO: medium-light skin tone                     #  8.0  [1] (🙅🏼‍♀️)
1F645 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man gesturing NO: medium-light skin tone                       #  8.0  [1] (🙅🏼‍♂️)
1F645 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman gesturing NO: medium skin tone                           #  8.0  [1] (🙅🏽‍♀️)
1F645 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man gesturing NO: medium skin tone                             #  8.0  [1] (🙅🏽‍♂️)
1F645 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman gesturing NO: medium-dark skin tone                      #  8.0  [1] (🙅🏾‍♀️)
1F645 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man gesturing NO: medium-dark skin tone                        #  8.0  [1] (🙅🏾‍♂️)
1F645 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman gesturing NO: dark skin tone                             #  8.0  [1] (🙅🏿‍♀️)
1F645 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man gesturing NO: dark skin tone                               #  8.0  [1] (🙅🏿‍♂️)
1F646 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman gesturing OK                                             #  6.0  [1] (🙆‍♀️)
1F646 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man gesturing OK                                               #  6.0  [1] (🙆‍♂️)
1F646 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman gesturing OK: light skin tone                            #  8.0  [1] (🙆🏻‍♀️)
1F646 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man gesturing OK: light skin tone                              #  8.0  [1] (🙆🏻‍♂️)
1F646 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman gesturing OK: medium-light skin tone                     #  8.0  [1] (🙆🏼‍♀️)
1F646 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man gesturing OK: medium-light skin tone                       #  8.0  [1] (🙆🏼‍♂️)
1F646 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman gesturing OK: medium skin tone                           #  8.0  [1] (🙆🏽‍♀️)
1F646 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man gesturing OK: medium skin tone                             #  8.0  [1] (🙆🏽‍♂️)
1F646 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman gesturing OK: medium-dark skin tone                      #  8.0  [1] (🙆🏾‍♀️)
1F646 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man gesturing OK: medium-dark skin tone                        #  8.0  [1] (🙆🏾‍♂️)
1F646 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman gesturing OK: dark skin tone                             #  8.0  [1] (🙆🏿‍♀️)
1F646 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man gesturing OK: dark skin tone                               #  8.0  [1] (🙆🏿‍♂️)
1F647 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman bowing                                                   #  6.0  [1] (🙇‍♀️)
1F647 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man bowing                                                     #  6.0  [1] (🙇‍♂️)
1F647 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman bowing: light skin tone                                  #  8.0  [1] (🙇🏻‍♀️)
1F647 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man bowing: light skin tone                                    #  8.0  [1] (🙇🏻‍♂️)
1F647 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman bowing: medium-light skin tone                           #  8.0  [1] (🙇🏼‍♀️)
1F647 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man bowing: medium-light skin tone                             #  8.0  [1] (🙇🏼‍♂️)
1F647 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman bowing: medium skin tone                                 #  8.0  [1] (🙇🏽‍♀️)
1F647 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man bowing: medium skin tone                                   #  8.0  [1] (🙇🏽‍♂️)
1F647 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman bowing: medium-dark skin tone                            #  8.0  [1] (🙇🏾‍♀️)
1F647 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man bowing: medium-dark skin tone                              #  8.0  [1] (🙇🏾‍♂️)
1F647 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman bowing: dark skin tone                                   #  8.0  [1] (🙇🏿‍♀️)
1F647 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man bowing: dark skin tone                                     #  8.0  [1] (🙇🏿‍♂️)
1F64B 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman raising hand                                             #  6.0  [1] (🙋‍♀️)
1F64B 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man raising hand                                               #  6.0  [1] (🙋‍♂️)
1F64B 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman raising hand: light skin tone                            #  8.0  [1] (🙋🏻‍♀️)
1F64B 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man raising hand: light skin tone                              #  8.0  [1] (🙋🏻‍♂️)
1F64B 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman raising hand: medium-light skin tone                     #  8.0  [1] (🙋🏼‍♀️)
1F64B 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man raising hand: medium-light skin tone                       #  8.0  [1] (🙋🏼‍♂️)
1F64B 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman raising hand: medium skin tone                           #  8.0  [1] (🙋🏽‍♀️)
1F64B 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man raising hand: medium skin tone                             #  8.0  [1] (🙋🏽‍♂️)
